t # 0
v 0 18
v 1 24
v 2 5
v 3 16
v 4 11
v 5 27
v 6 22
v 7 15
v 8 13
v 9 3
v 10 30
v 11 7
v 12 29
v 13 17
v 14 25
v 15 14
v 16 10
v 17 2
v 18 31
v 19 21
e 0 1 1
e 0 2 1
e 0 3 1
e 0 4 1
e 0 5 1
e 0 6 1
e 0 8 1
e 0 9 1
e 0 11 1
e 0 12 1
e 0 13 1
e 0 14 1
e 0 15 1
e 0 16 1
e 0 17 1
e 0 18 1
e 0 19 1
e 1 3 1
e 1 4 1
e 1 5 1
e 1 6 1
e 1 7 1
e 1 9 1
e 1 11 1
e 1 12 1
e 1 13 1
e 1 15 1
e 1 16 1
e 1 17 1
e 1 18 1
e 1 19 1
e 2 3 1
e 2 4 1
e 2 5 1
e 2 6 1
e 2 7 1
e 2 8 1
e 2 9 1
e 2 10 1
e 2 11 1
e 2 13 1
e 2 14 1
e 2 15 1
e 2 16 1
e 2 17 1
e 2 18 1
e 2 19 1
e 3 4 1
e 3 5 1
e 3 6 1
e 3 7 1
e 3 8 1
e 3 10 1
e 3 11 1
e 3 12 1
e 3 13 1
e 3 14 1
e 3 17 1
e 3 18 1
e 3 19 1
e 4 5 1
e 4 6 1
e 4 7 1
e 4 12 1
e 4 13 1
e 4 14 1
e 4 15 1
e 4 16 1
e 4 17 1
e 4 18 1
e 4 19 1
e 5 7 1
e 5 8 1
e 5 9 1
e 5 10 1
e 5 11 1
e 5 12 1
e 5 14 1
e 5 15 1
e 5 16 1
e 5 17 1
e 5 18 1
e 5 19 1
e 6 7 1
e 6 8 1
e 6 9 1
e 6 10 1
e 6 11 1
e 6 12 1
e 6 13 1
e 6 14 1
e 6 15 1
e 6 16 1
e 6 17 1
e 6 18 1
e 6 19 1
e 7 8 1
e 7 10 1
e 7 12 1
e 7 13 1
e 7 14 1
e 7 17 1
e 7 18 1
e 7 19 1
e 8 10 1
e 8 11 1
e 8 12 1
e 8 13 1
e 8 14 1
e 8 15 1
e 8 16 1
e 8 17 1
e 8 18 1
e 8 19 1
e 9 10 1
e 9 11 1
e 9 13 1
e 9 14 1
e 9 15 1
e 9 16 1
e 9 17 1
e 9 18 1
e 10 13 1
e 10 14 1
e 10 15 1
e 10 16 1
e 10 17 1
e 10 18 1
e 10 19 1
e 11 13 1
e 11 14 1
e 11 15 1
e 11 16 1
e 11 18 1
e 11 19 1
e 12 13 1
e 12 14 1
e 12 15 1
e 12 16 1
e 12 18 1
e 12 19 1
e 13 14 1
e 13 15 1
e 13 16 1
e 13 18 1
e 13 19 1
e 14 15 1
e 14 16 1
e 14 17 1
e 14 19 1
e 15 16 1
e 15 17 1
e 15 18 1
e 15 19 1
e 16 17 1
e 16 18 1
e 16 19 1
e 17 18 1
e 17 19 1
e 18 19 1
t # 1
v 0 29
v 1 6
v 2 1
v 3 27
v 4 28
v 5 9
v 6 11
v 7 15
v 8 5
v 9 12
v 10 31
v 11 2
v 12 26
v 13 24
v 14 19
v 15 16
v 16 20
v 17 17
v 18 4
v 19 18
v 20 23
v 21 3
v 22 0
v 23 14
v 24 7
v 25 22
v 26 25
v 27 8
v 28 13
v 29 21
e 0 9 1
e 0 12 1
e 1 2 1
e 1 14 1
e 1 25 1
e 2 14 1
e 2 18 1
e 2 25 1
e 3 6 1
e 3 21 1
e 4 5 1
e 5 6 1
e 5 7 1
e 5 19 1
e 5 21 1
e 5 26 1
e 6 27 1
e 6 29 1
e 7 22 1
e 8 13 1
e 8 23 1
e 8 26 1
e 10 13 1
e 10 18 1
e 11 17 1
e 11 20 1
e 12 21 1
e 12 29 1
e 13 27 1
e 13 29 1
e 14 20 1
e 14 22 1
e 14 23 1
e 14 27 1
e 15 26 1
e 16 23 1
e 17 23 1
e 17 29 1
e 20 28 1
e 21 24 1
e 21 27 1
e 21 28 1
e 26 27 1
t # 2
v 0 16
v 1 23
v 2 25
v 3 2
v 4 11
v 5 20
v 6 27
v 7 1
v 8 18
v 9 14
v 10 4
v 11 17
v 12 21
v 13 13
v 14 22
v 15 9
v 16 24
v 17 5
v 18 28
v 19 19
v 20 8
v 21 12
v 22 3
v 23 6
v 24 31
v 25 0
e 0 8 1
e 0 13 1
e 0 20 1
e 0 21 1
e 0 25 1
e 1 22 1
e 2 9 1
e 2 21 1
e 3 5 1
e 3 8 1
e 4 12 1
e 4 16 1
e 4 25 1
e 5 7 1
e 5 17 1
e 5 24 1
e 6 22 1
e 6 24 1
e 7 11 1
e 7 25 1
e 10 14 1
e 10 15 1
e 10 17 1
e 14 19 1
e 15 18 1
e 15 20 1
e 16 21 1
e 19 22 1
e 22 25 1
e 23 24 1
t # 3
v 0 25
v 1 19
v 2 24
